id,type,domain,enabled,date_added,date_modified,comment
1,0,s.youtube.com,1,1683661344,1683661344,"Added from Query Log"
2,3,(\.|^)zip$,1,1685538825,1685538825,"Manual - Google .zip TLD"
3,3,(\.|^)mov$,1,1685538836,1685538836,"Manual - Google .mov TLD"
